title,movieInfo,star,quote
拯救大兵瑞恩 / SavingPrivateRyan / 雷霆救兵(港)/抢救雷恩大兵(台),导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...;1998 / 美国 / 剧情历史战争;;,8.9,美利坚精神输出大片No1.
天使爱美丽 / Lefabuleuxdestind'AméliePoulain / 艾蜜莉的异想世界(台)/天使艾米莉,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...;2001 / 法国德国 / 喜剧爱情;;,8.7,法式小清新。 
看不见的客人 / Contratiempo / 佈局(台)/死无对证(港),导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...;2016 / 西班牙 / 剧情犯罪悬疑惊悚;;,8.7,你以为你以为的就是你以为的。
音乐之声 / TheSoundofMusic / 仙乐飘飘处处闻(港)/真善美(台),导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...;1965 / 美国 / 剧情传记爱情歌舞;;,8.9,用音乐化解仇恨，让歌声串起美好。
低俗小说 / PulpFiction / 黑色追緝令(台)/危险人物(港),导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...;1994 / 美国 / 剧情喜剧犯罪;;,8.8,故事的高级讲法。
勇敢的心 / Braveheart / 惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...;1995 / 美国 / 动作传记剧情历史战争;;,8.8,史诗大片的典范。
大闹天宫 / 大闹天宫上下集/TheMonkeyKing,导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...;1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻;;,9.3,经典之作，历久弥新。
剪刀手爱德华 / EdwardScissorhands / 幻海奇缘(港)/剪刀手爱德华,导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...;1990 / 美国 / 剧情奇幻爱情;;,8.7,浪漫忧郁的成人童话。
沉默的羔羊 / TheSilenceoftheLambs / 沉默的羔羊,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...;1991 / 美国 / 剧情犯罪惊悚;;,8.8,安东尼·霍普金斯的顶级表演。
哈利·波特与魔法石 / HarryPotterandtheSorcerer'sStone / 哈利波特1：神秘的魔法石(港/台),导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint;2001 / 美国英国 / 奇幻冒险;;,8.8,童话世界的开端。
